# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 73    Ta    N2      13.0000
 73    Ta    N3      13.0000
 73    Ta    N4      8.0000
 73    Ta    N5      8.0000
 73    Ta    N6      0.0500
 73    Ta    N7      0.0500
 73    Ta    O1      0.1000
 73    Ta    O2      0.1000
 73    Ta    O3      0.1000
 74     W     K      43.7897
 74     W    L1      7.7362
 74     W    L2      5.5383
 74     W    L3      4.7413
 74     W    M1      18.4641
 74     W    M2      12.8452
 74     W    M3      10.4881
 74     W    M4      3.4290
 74     W    M5      1.9845
 74     W    N1      14.4552
 74     W    N2      13.0000
 74     W    N3      13.0000
 74     W    N4      8.0000
 74     W    N5      8.0000
 74     W    N6      0.0640
 74     W    N7      0.0640
 74     W    O1      0.1000
 74     W    O2      0.1000
 74     W    O3      0.1000
 75    Re     K      46.1496
 75    Re    L1      8.0000
 75    Re    L2      5.6585
 75    Re    L3      4.8452
 75    Re    M1      19.0113
 75    Re    M2      13.1816
 75    Re    M3      10.4051
 75    Re    M4      3.7035
 75    Re    M5      2.0895
 75    Re    N1      14.7019
 75    Re    N2      13.0000
 75    Re    N3      13.0000
 75    Re    N4      8.0000
 75    Re    N5      8.0000
 75    Re    N6      0.0819
 75    Re    N7      0.0819
 75    Re    O1      0.1000
 75    Re    O2      0.1000
 75    Re    O3      0.1000
 76    Os     K      48.6368
 76    Os    L1      8.3518
 76    Os    L2      5.7813
 76    Os    L3      4.9514
 76    Os    M1      19.5746
 76    Os    M2      13.5267
 76    Os    M3      10.3228
 76    Os    M4      4.0000
 76    Os    M5      2.2000
 76    Os    N1      14.9528
 76    Os    N2      13.0000
 76    Os    N3      13.0000
 76    Os    N4      8.0000
 76    Os    N5      8.0000
 76    Os    N6      0.1049
 76    Os    N7      0.1049
 76    Os    O1      0.1000
 76    Os    O2      0.1000
 76    Os    O3      0.1000
 77    Ir     K      51.2580
 77    Ir    L1      8.7191
 77    Ir    L2      5.9069
 77    Ir    L3      5.0599
 77    Ir    M1      20.1547
 77    Ir    M2      13.8809
 77    Ir    M3      10.2411
 77    Ir    M4      3.5088
 77    Ir    M5      2.2958
 77    Ir    N1      15.2080
 77    Ir    N2      13.0000
 77    Ir    N3      13.0000
 77    Ir    N4      8.0000
 77    Ir    N5      8.0000
 77    Ir    N6      0.1343
 77    Ir    N7      0.1343
 77    Ir    O1      0.1000
 77    Ir    O2      0.1000
 77    Ir    O3      0.1000
